ID RA Dec RAHost DecHost zHost NormSep TDR zSource zSN tpk e_tpk x1 e_x1 c e_c mB e_mB logM e_logM distcorr PIa_PSNID PIa_NN PIa_Fitprob PIa_Galsnid
psc050580 14:11:57.768 +52:04:18.64 14:11:57.745 +52:04:18.66 -999 -999 -999 -999 0.45 55369.3 0.6 -0.3782 0.4642 0.0296 0.0397 22.3976 0.0426 10.154 0.655 0.041 1.0 1.0 1.0 1.0
psc050607 14:14:03.339 +53:21:43.87 14:14:03.276 +53:21:44.45 0.43913 3.300 4.3 MMT 0.443 55367.5 0.6 0.1464 0.4978 0.0743 0.0443 22.6496 0.0466 9.458 0.23 0.038 1.0 1.0 1.0 1.0
psc070242 02:27:12.037 -04:32:04.87 02:27:12.091 -04:32:06.97 0.28670 7.377 4.24 MMT 0.06 55427.2 0.1 -1.1137 0.0663 -0.1066 0.0319 18.0032 0.0359 6.582 1.56 -0.021 1.0 1.0 1.0 1.0
psc070955 16:05:54.088 +55:11:52.19 16:05:54.018 +55:11:53.81 0.34918 4.091 7.12 MMT 0.35 55438.5 0.3 1.4337 0.326 -0.0274 0.0283 21.6384 0.0338 9.513 0.272 0.02 1.0 1.0 1.0 1.0
psc080064 03:29:42.070 -27:52:38.10 03:29:42.079 -27:52:37.78 0.06548 0.558 7.56 AAT/AAOmega 0.066 55444.9 0.3 -0.3211 0.0819 0.24 0.0307 18.7522 0.0365 9.133 0.024 -0.021 1.0 1.0 1.0 1.0
psc080646 22:18:29.330 +00:56:29.35 22:18:29.226 +00:56:28.56 0.31855 2.462 7.36 MMT 0.33 55462.2 0.2 -1.0643 0.2821 -0.0812 0.0379 21.6825 0.0539 10.768 0.12 0.014 1.0 1.0 1.0 1.0
psc080723 02:19:56.728 -03:57:38.18 02:19:56.692 -03:57:38.22 -999 -999 -999 -999 0.431 55474.2 0.4 0.4783 0.346 -0.1359 0.0349 22.188 0.0431 9.753 0.321 0.036 1.0 1.0 1.0 1.0
psc080735 22:15:29.668 +00:32:30.86 22:15:29.624 +00:32:30.66 -999 -999 -999 -999 0.635 55467.6 0.9 -0.2608 0.6852 -0.1677 0.0573 23.0668 0.0746 9.477 0.594 0.095 1.0 1.0 1.0 1.0
psc090037 08:40:03.837 +43:25:17.22 08:40:03.792 +43:25:16.92 0.14531 0.875 14.26 MMT 0.145 55472.1 0.4 -1.1374 0.449 0.2416 0.059 21.1976 0.0938 10.109 0.04 -0.0 1.0 1.0 1.0 1.0
psc090201 23:33:18.785 -00:57:02.55 23:33:18.771 -00:57:02.99 -999 -999 -999 -999 0.51 55483.5 0.6 0.048 0.4957 -0.0832 0.0413 22.5028 0.0475 10.279 58.178 0.058 1.0 1.0 1.0 1.0
psc090275 03:36:17.300 -28:03:05.43 03:36:17.004 -28:03:01.11 -999 -999 -999 -999 0.14 55494.4 0.1 -1.116 0.1671 -0.0276 0.0308 19.8288 0.0396 11.029 0.046 -0.001 1.0 1.0 1.0 1.0
psc091748 03:28:29.493 -26:49:42.58 03:28:29.456 -26:49:42.33 0.14446 1.118 6.2 AAT/AAOmega 0.148 55507.4 0.1 0.4356 0.1379 -0.0034 0.0254 19.6904 0.0312 8.154 0.637 -0.0 1.0 1.0 1.0 1.0
psc091869 23:27:37.796 -01:45:44.83 23:27:37.914 -01:45:46.15 -999 1.987 2.97 SDSS 0.29 55495.7 0.3 1.3939 0.3173 0.0037 0.0312 21.3028 0.0471 10.347 0.34 0.012 1.0 1.0 1.0 1.0
psc100014 23:33:10.783 -01:14:07.01 23:33:10.415 -01:14:06.77 -999 -999 -999 -999 0.31 55513.6 0.3 -0.1188 0.3341 -0.1793 0.0381 21.1673 0.0582 11.072 0.209 0.013 1.0 1.0 1.0 1.0
psc100090 08:47:18.713 +43:24:29.20 08:47:18.757 +43:24:28.88 0.17271 0.274 19.38 MMT 0.172 55506.3 0.4 -0.9967 0.3217 0.0498 0.0305 20.8168 0.0377 9.978 0.098 0.003 1.0 1.0 1.0 1.0
psc100101 08:48:33.834 +43:59:06.88 08:48:33.807 +43:59:03.79 0.42941 2.309 7.29 MMT 0.43 55517.5 0.6 -0.7229 0.4732 -0.0635 0.042 22.5567 0.0485 11.578 0.24 0.035 1.0 1.0 1.0 1.0
