ID zCMB mu e_mu RA DEC mB e_mB x1 e_x1 c e_c Sample GID
1999dk 0.01389 33.1989260649341 0.10800126354916988 22.820458614054303 14.257132008962689 "" "" "" "" "" "" Old 0
2016idy 0.04343 35.591096331877544 0.08362803453987196 23.5621 -17.81031 16.75 0.05 0.46 0.14 -0.083 0.033 Foundation 0
1998es 0.009593333333333334 32.26046624508866 0.09967917134078873 24.322721369740204 5.857097797533702 "" "" "" "" "" "" Old 0
2001eh 0.03627333333333333 35.28947109862265 0.09958441647002622 24.511516126745605 41.63144242426061 "" "" "" "" "" "" Hicken 0
ASASSN-15pm 0.0485 35.81791493658367 0.07806182268562538 24.65033 -4.68001 16.95 0.04 0.4 0.22 -0.095 0.028999999999999998 Foundation 0
2016F 0.015130000000000001 33.41798260790412 0.07806182268562538 24.883329999999997 33.826679999999996 14.88 0.04 0.21 0.07 0.01 0.027999999999999997 Foundation 0
ASASSN-15uu 0.026310000000000004 34.402379126473086 0.08362803453987196 25.98572 17.06234 16.28 0.05 1.01 0.18 0.19 0.033 Foundation 0
2016fbk 0.035710000000000006 35.30826413117886 0.08362803453987196 26.02737 34.38283 17.13 0.05 -0.16 0.12 0.11699999999999999 0.03 Foundation 0
1996bo 0.016309999999999998 33.083427604477556 0.1663903199943568 27.10552054582088 11.470716434267096 "" "" "" "" "" "" Old 0
2002eu 0.037000000000000005 35.26765448029147 0.14032169258387106 27.43167 32.628609999999995 17.386 0.04 -1.893 0.142 0.025 0.028 LOSS 0
2005W 0.008556666666666667 32.106662482156345 0.15 27.69070833333333 21.75983333333333 "" "" "" "" "" "" CSP-DR3 4709
"PSN J01534240+2956107" 0.02563 34.434900720113355 0.08362803453987196 28.426666666666666 29.93630555555556 16.22 0.05 -0.56 0.08 0.086 0.028999999999999998 Foundation 0
2002fb 0.01546 33.40575374966211 0.14117511810149466 29.47435014517309 36.3715868606276 "" "" "" "" "" "" Hicken 0
2006td 0.01546 33.50048852306527 0.1775989802317307 29.58300213877132 36.34598962107576 "" "" "" "" "" "" Hicken 0
2004fz 0.016296666666666668 33.085215801876394 0.13718300700014713 30.27671 31.878940000000004 14.898 0.027000000000000003 -1.17 0.08800000000000001 -0.037000000000000005 0.025 LOSS 4565
2006ef 0.016986666666666667 33.80474975705449 0.15437899911594696 31.08975506282468 -8.746665055025964 "" "" "" "" "" "" Hicken 0
2009le 0.0178 33.886662482156346 0.07 32.321416666666664 -22.587555555555557 "" "" "" "" "" "" CSP-DR3 0
2005lz 0.04 35.47039927169906 0.138254032163993 32.70733 34.98283 17.612000000000005 0.032 -1.055 0.14400000000000002 0.06 0.031 LOSS 0
2016htn 0.05275 36.11718263866327 0.07806182268562538 32.87112 -16.51033 17.78 0.04 0.14 0.23 0.076 0.031 Foundation 0
ASASSN-15rw 0.01839 33.71381244701573 0.10437264086436644 33.992290000000004 12.23739 14.93 0.08 1.38 0.1 -0.021 0.035 Foundation 0
2002hu 0.03817333333333333 35.25884873449665 0.11950229841115573 34.52302921371585 37.44450583158338 "" "" "" "" "" "" Hicken 0
ASASSN-15od 0.01703 33.71678784068285 0.07806182268562538 35.80504000000001 -4.51724 15.03 0.04 -1.09 0.12 -0.10099999999999999 0.031 Foundation 0
2016euj 0.01697 33.58191139674088 0.07806182268562538 36.84042 -23.92925 14.99 0.04 -1.04 0.1 -0.066 0.03 Foundation 0
2005eu 0.034076666666666665 35.14407584923444 0.11765698344655752 36.93337167223198 28.137333350949696 "" "" "" "" "" "" Hicken 0
2016gsn 0.01409 33.11200938409332 0.13745416749230274 37.322829999999996 18.087870000000002 14.25 0.12 0.9 0.13 -0.07 0.039 Foundation 0
2016W 0.01723333333333333 33.72683571683398 0.08362803453987196 37.66542000000001 42.23581 15.55 0.05 -1.39 0.1 0.061 0.032 Foundation 4740
2005A 0.01834 33.733929710009434 0.12526691552520552 37.679296461086395 -2.9404505390424456 "" "" "" "" "" "" "CSP Old" 4133
